# benchmark, peak heap, .data, .bss
aha-mont64, 136988, 168, 4920
crc32, 137092, 168, 4920
cubic, 182597, 168, 4920
edn, 139592, 168, 4920
huffbench, 140036, 168, 4920
matmult-int, 139048, 168, 4920
minver, 137418, 168, 4920
neetle-aes, 163926, 168, 4920
neetle-sha256, 139238, 168, 4920
nsichneu, 161932, 168, 4920
picojpeg, 154640, 168, 4920
qrduino, 148214, 168, 4920
sglib-combined, 148650, 168, 4920
slre, 147728, 168, 4920
st, 136280, 168, 4920
statemate, 143262, 168, 4920
ud, 136816, 168, 4920
wikisort, 153128, 168, 4920
